"key","scientificName","decimalLongitude","decimalLatitude","issues","year","month","day","eventDate","country"
"3859301795","Anoplophora glabripennis (Motschulsky, 1854)",113.088394,28.814939,"cdround",2022,6,15,"2022-06-15T15:41:25","China"
"3859461288","Anoplophora glabripennis (Motschulsky, 1854)",100.148881,25.774917,"cdround",2022,6,12,"2022-06-12T10:49:15","China"
"3860303086","Anoplophora glabripennis (Motschulsky, 1854)",119.63888,41.41454,"cdround",2022,7,3,"2022-07-03T12:52:51","China"
"3873273284","Anoplophora glabripennis (Motschulsky, 1854)",120.025909,30.271482,"cdround",2022,7,13,"2022-07-13T17:08:23","China"
"3873788886","Anoplophora glabripennis (Motschulsky, 1854)",116.666755,40.649403,"cdround",2022,7,21,"2022-07-21T13:04:04","China"
"3881335678","Anoplophora glabripennis (Motschulsky, 1854)",121.45771,31.215078,"cdround",2022,7,27,"2022-07-27T12:43:35","China"
"3881359097","Anoplophora glabripennis (Motschulsky, 1854)",118.4824,40.603247,"cdround",2022,7,29,"2022-07-29T13:45:04","China"
"3881435733","Anoplophora glabripennis (Motschulsky, 1854)",113.70998,34.765783,"cdround",2022,7,30,"2022-07-30T08:38:03","China"
"3923321228","Anoplophora glabripennis (Motschulsky, 1854)",116.008553,39.925175,"cdround",2022,7,23,"2022-07-23T10:51:03","China"
"3888718035","Anoplophora glabripennis (Motschulsky, 1854)",110.738611,32.810556,"cdround",2022,8,1,"2022-08-01T21:01:00","China"
"3892586569","Anoplophora glabripennis (Motschulsky, 1854)",113.087692,28.814375,"cdround",2022,8,10,"2022-08-10T05:59:59","China"
"3902817608","Anoplophora glabripennis (Motschulsky, 1854)",137.221083,36.719525,"cdround",2022,8,19,"2022-08-19T16:58:26","Japan"
"3903420602","Anoplophora glabripennis (Motschulsky, 1854)",116.460408,39.801958,"cdround",2022,9,13,"2022-09-13T08:17:11","China"
"3903469969","Anoplophora glabripennis (Motschulsky, 1854)",-111.810175,41.744098,"cdround",2022,9,8,"2022-09-08T14:45:17","United States of America"
"3912368373","Anoplophora glabripennis (Motschulsky, 1854)",116.46251,40.145104,"cdround",2022,9,7,"2022-09-07T20:57:06","China"
"3915632545","Anoplophora glabripennis (Motschulsky, 1854)",113.75277,34.693388,"cdround",2022,9,16,"2022-09-16T09:07:43","China"
"3923320940","Anoplophora glabripennis (Motschulsky, 1854)",100.205917,26.924118,"cdround",2022,9,29,"2022-09-29T15:18:21","China"
"3923594926","Anoplophora glabripennis (Motschulsky, 1854)",100.203903,26.924149,"cdround",2022,9,29,"2022-09-29T15:17:12","China"
"3961374608","Anoplophora glabripennis (Motschulsky, 1854)",-73.552044,41.133604,"cdround",2022,9,19,"2022-09-19T09:30:39","United States of America"
"3059016722","Anoplophora glabripennis (Motschulsky, 1854)",-80.107346,32.785482,"cdround",2021,1,20,"2021-01-20T13:51:48","United States of America"
"3455964893","Anoplophora glabripennis (Motschulsky, 1854)",-80.169709,32.755124,"cdround",2021,1,15,"2021-01-15T12:26:29","United States of America"
"3455305861","Anoplophora glabripennis (Motschulsky, 1854)",-80.169695,32.754808,"cdround",2021,3,30,"2021-03-30T10:13:21","United States of America"
"3455377117","Anoplophora glabripennis (Motschulsky, 1854)",113.9561,22.233895,"",2021,5,2,"2021-05-02T15:33:03","Hong Kong"
"3307144908","Anoplophora glabripennis (Motschulsky, 1854)",137.159797,34.956989,"cdround",2021,6,15,"2021-06-15T21:50:00","Japan"
"3325715518","Anoplophora glabripennis (Motschulsky, 1854)",137.159802,34.956976,"cdround",2021,6,29,"2021-06-29T22:30:00","Japan"
"3881622800","Anoplophora glabripennis (Motschulsky, 1854)",121.934779,31.473831,"cdround",2021,6,24,"2021-06-24T23:31:41","China"
"3330512063","Anoplophora glabripennis (Motschulsky, 1854)",137.156381,34.952138,"cdround",2021,7,19,"2021-07-19T21:00:00","Japan"
"3330624930","Anoplophora glabripennis (Motschulsky, 1854)",137.151077,34.94754,"cdround",2021,7,18,"2021-07-18T14:08:46","Japan"
"3337638554","Anoplophora glabripennis (Motschulsky, 1854)",125.312919,43.891809,"cdround",2021,7,6,"2021-07-06T17:42:07","China"
"3355493982","Anoplophora glabripennis (Motschulsky, 1854)",114.467361,38.021368,"cdround",2021,7,7,"2021-07-07T06:50:00","China"
"3859516381","Anoplophora glabripennis (Motschulsky, 1854)",118.487303,40.605634,"cdround",2021,8,19,"2021-08-19T14:28:00","China"
"3881596382","Anoplophora glabripennis (Motschulsky, 1854)",111.898974,40.939969,"cdround",2021,8,24,"2021-08-24T11:13:40","China"
"3383855288","Anoplophora glabripennis (Motschulsky, 1854)",115.961671,39.725297,"cdround",2021,9,8,"2021-09-08T08:38:00","China"
"3874176063","Anoplophora glabripennis (Motschulsky, 1854)",115.688248,39.922957,"cdround",2021,9,1,"2021-09-01T19:08:00","China"
"2573944781","Anoplophora glabripennis (Motschulsky, 1854)",-71.810013,42.219575,"cdround",2020,2,12,"2020-02-12T13:45:16","United States of America"
"2802938723","Anoplophora glabripennis (Motschulsky, 1854)",102.704087,25.070036,"cdround",2020,6,8,"2020-06-08T09:42:36","China"
