"key","scientificName","decimalLongitude","decimalLatitude","issues","year","month","day","eventDate","country"
"1100326300","Batrachedra arenosella Walker, 1864",149.00064,-35.81576,"incomis,inmafu",2013,12,8,"2013-12-08T00:00:00","Australia"
"1100326354","Batrachedra arenosella Walker, 1864",149.01055,-35.835,"incomis,inmafu",2013,12,8,"2013-12-08T00:00:00","Australia"
"2446098682","Batrachedra arenosella Walker, 1864",148.740278,-35.677778,"rdativ,colmano,inmafu",2013,12,11,"2013-12-11T00:00:00","Australia"
"1413952954","BOLD:AAO1008",152.57,-25.56,"gass84",2002,5,7,"2002-05-07T00:00:00","Australia"
"3346817439","Batrachedra arenosella Walker, 1864",152.570007,-25.559999,"gass84",2002,5,7,"2002-05-07T00:00:00","Australia"
"1632780759","Batrachedra arenosella Walker, 1864",138.6161,-34.93,"incomis,inmafu",1892,3,13,"1892-03-13T00:00:00","Australia"
"1632780764","Batrachedra arenosella Walker, 1864",138.6161,-34.93,"incomis,inmafu",1892,4,23,"1892-04-23T00:00:00","Australia"
"1632780753","Batrachedra arenosella Walker, 1864",141.45,-31.9669,"incomis,inmafu",NA,NA,NA,NA,"Australia"
"1632780767","Batrachedra arenosella Walker, 1864",145,-38,"incomis,inmafu",NA,NA,NA,NA,"Australia"
"1632780768","Batrachedra arenosella Walker, 1864",145.6331,-16.8169,"incomis,inmafu",NA,NA,NA,NA,"Australia"
"1632780769","Batrachedra arenosella Walker, 1864",149.67,-23.7,"incomis,inmafu",NA,NA,NA,NA,"Australia"
"1632780770","Batrachedra arenosella Walker, 1864",138.6331,-35,"incomis,inmafu",NA,NA,NA,NA,"Australia"
"1632780772","Batrachedra arenosella Walker, 1864",144.5833,-37.5,"incomis,inmafu",NA,NA,NA,NA,"Australia"
"1632780773","Batrachedra arenosella Walker, 1864",145.6331,-16.8169,"incomis,inmafu",NA,NA,NA,NA,"Australia"
"1632780774","Batrachedra arenosella Walker, 1864",138.6161,-34.93,"incomis,inmafu",NA,NA,NA,NA,"Australia"
"3847003715","Batrachedra arenosella Walker, 1864",55.53241,-21.13317,"cum",NA,NA,NA,NA,"Réunion"
"3935041597","Batrachedra arenosella Walker, 1864",55.53241,-21.13317,"cum",NA,NA,NA,NA,"Réunion"
