"key","scientificName","decimalLongitude","decimalLatitude","issues","year","month","day","eventDate","country"
"3723355899","Coleophora laricella (Hübner, 1817)",6.821983,51.35357,"cdround,osiic",2022,1,11,"2022-01-11T00:00:00","Germany"
"3723443467","Coleophora laricella (Hübner, 1817)",5.75,52,"osiic",2022,1,23,"2022-01-23T00:00:00","Netherlands"
"3723654453","Coleophora laricella (Hübner, 1817)",5.75,52,"osiic",2022,1,23,"2022-01-23T00:00:00","Netherlands"
"3732575302","Coleophora laricella (Hübner, 1817)",7.393224,50.778293,"osiic",2022,1,11,"2022-01-11T00:00:00","Germany"
"3498608597","Coleophora laricella (Hübner, 1817)",7.072881,50.73378,"cdround,gass84",2022,2,12,"2022-02-12T00:00:00","Germany"
"3822857750","Coleophora laricella (Hübner, 1817)",6.364366,50.545773,"cdround,osiic",2022,3,27,"2022-03-27T00:00:00","Germany"
"3823264995","Coleophora laricella (Hübner, 1817)",9.088338,51.443561,"osiic",2022,3,12,"2022-03-12T00:00:00","Germany"
"3823931416","Coleophora laricella (Hübner, 1817)",10.844973,53.102093,"cdround,osiic",2022,3,19,"2022-03-19T00:00:00","Germany"
"3825539864","Coleophora laricella (Hübner, 1817)",12.142002,50.35173,"cdround,osiic",2022,3,10,"2022-03-10T00:00:00","Germany"
"3826825073","Coleophora laricella (Hübner, 1817)",6.248748,50.644249,"cdround,osiic",2022,3,16,"2022-03-16T00:00:00","Germany"
"3768981645","Coleophora laricella (Hübner, 1817)",13.16567,56.56397,"",2022,4,24,"2022-04-24T00:00:00","Sweden"
"3859405934","Coleophora laricella (Hübner, 1817)",-62.948887,46.410837,"cdround",2022,5,31,"2022-05-31T16:25:00","Canada"
"3860483641","Coleophora laricella (Hübner, 1817)",-62.738412,46.299197,"cdround",2022,5,29,"2022-05-29T09:36:04","Canada"
"3924872393","Coleophora laricella (Hübner, 1817)",-1.278756,52.539096,"",2022,5,22,"2022-05-22T00:00:00","United Kingdom of Great Britain and Northern Ireland"
"3856486928","Coleophora laricella (Hübner, 1817)",13.11477,56.38769,"",2022,6,13,"2022-06-13T00:00:00","Sweden"
"3857561880","Coleophora laricella (Hübner, 1817)",13.10524,56.39023,"",2022,6,13,"2022-06-13T00:00:00","Sweden"
"3858588610","Coleophora laricella (Hübner, 1817)",-64.064793,45.675085,"cdround",2022,6,13,"2022-06-13T16:45:00","Canada"
"3859744837","Coleophora laricella (Hübner, 1817)",-62.688583,46.264737,"cdround",2022,6,3,"2022-06-03T19:39:50","Canada"
"3860731308","Coleophora laricella (Hübner, 1817)",-62.699741,46.310482,"cdround",2022,6,3,"2022-06-03T19:02:07","Canada"
"3860783995","Coleophora laricella (Hübner, 1817)",-62.550446,46.155069,"cdround",2022,6,1,"2022-06-01T18:18:56","Canada"
"3873806337","Coleophora laricella (Hübner, 1817)",-62.698023,45.997692,"cdround",2022,7,21,"2022-07-21T13:49:00","Canada"
"3964183239","Coleophora laricella (Hübner, 1817)",17.63079,59.85435,"",2022,10,17,"2022-10-17T00:00:00","Sweden"
"3964321935","Coleophora laricella (Hübner, 1817)",17.63098,59.85432,"",2022,10,16,"2022-10-16T00:00:00","Sweden"
"3964392499","Coleophora laricella (Hübner, 1817)",18.31819,59.09788,"",2022,10,1,"2022-10-01T00:00:00","Sweden"
"3964445996","Coleophora laricella (Hübner, 1817)",17.63103,59.8544,"",2022,10,13,"2022-10-13T11:45:00","Sweden"
"3964553650","Coleophora laricella (Hübner, 1817)",17.63071,59.85447,"",2022,10,15,"2022-10-15T10:00:00","Sweden"
"3964563334","Coleophora laricella (Hübner, 1817)",17.62701,59.87592,"",2022,10,14,"2022-10-14T11:00:00","Sweden"
"3964623604","Coleophora laricella (Hübner, 1817)",17.62696,59.87567,"",2022,10,15,"2022-10-15T11:00:00","Sweden"
"3964641511","Coleophora laricella (Hübner, 1817)",17.63083,59.85446,"",2022,10,13,"2022-10-13T00:00:00","Sweden"
"3964645377","Coleophora laricella (Hübner, 1817)",17.62696,59.87567,"",2022,10,18,"2022-10-18T09:50:00","Sweden"
"3387837738","Coleophora laricella (Hübner, 1817)",6.666171,50.413197,"cdround,gass84",2021,1,26,"2021-01-26T00:00:00","Germany"
"3387843197","Coleophora laricella (Hübner, 1817)",6.745409,50.900757,"cdround,gass84",2021,1,16,"2021-01-16T00:00:00","Germany"
"3388669621","Coleophora laricella (Hübner, 1817)",6.618642,50.453171,"cdround,gass84",2021,1,20,"2021-01-20T00:00:00","Germany"
"3719428973","Coleophora laricella (Hübner, 1817)",5.25,52.15,"osiic",2021,1,30,"2021-01-30T00:00:00","Netherlands"
"3388013067","Coleophora laricella (Hübner, 1817)",6.52416,50.604332,"cdround,gass84",2021,2,14,"2021-02-14T00:00:00","Germany"
"3388224663","Coleophora laricella (Hübner, 1817)",6.887288,50.991928,"cdround,gass84",2021,2,18,"2021-02-18T00:00:00","Germany"
"3388312418","Coleophora laricella (Hübner, 1817)",6.168094,50.614826,"cdround,gass84",2021,2,24,"2021-02-24T00:00:00","Belgium"
"3719796049","Coleophora laricella (Hübner, 1817)",5.95,52.05,"osiic",2021,2,28,"2021-02-28T00:00:00","Netherlands"
"3387793336","Coleophora laricella (Hübner, 1817)",6.887288,50.991928,"cdround,gass84",2021,3,6,"2021-03-06T00:00:00","Germany"
"3389009228","Coleophora laricella (Hübner, 1817)",6.712122,50.95256,"cdround,gass84",2021,3,31,"2021-03-31T00:00:00","Germany"
"3720173809","Coleophora laricella (Hübner, 1817)",5.8,52,"osiic",2021,3,18,"2021-03-18T00:00:00","Netherlands"
"3727776586","Coleophora laricella (Hübner, 1817)",5.8,52,"osiic",2021,3,18,"2021-03-18T00:00:00","Netherlands"
