"key","scientificName","decimalLongitude","decimalLatitude","issues","year","month","day","eventDate","country"
"3120004726","Dothistroma pini Hulbary",8.46826,47.55364,"",2019,7,8,"2019-07-08T00:00:00","Switzerland"
"3120039741","Dothistroma pini Hulbary",8.60307,47.64231,"",2019,7,8,"2019-07-08T00:00:00","Switzerland"
"3120040854","Dothistroma pini Hulbary",7.60222,46.74857,"",2019,7,8,"2019-07-08T00:00:00","Switzerland"
"3120059873","Dothistroma pini Hulbary",7.47143,46.88361,"",2019,7,8,"2019-07-08T00:00:00","Switzerland"
"3120064760","Dothistroma pini Hulbary",7.60331,47.10838,"",2019,7,8,"2019-07-08T00:00:00","Switzerland"
"3120077813","Dothistroma pini Hulbary",8.80381,47.6851,"",2019,7,8,"2019-07-08T00:00:00","Switzerland"
"3120371807","Dothistroma pini Hulbary",7.6047,47.5581,"",2019,7,8,"2019-07-08T00:00:00","Switzerland"
"3120389849","Dothistroma pini Hulbary",8.46478,47.37378,"",2019,7,8,"2019-07-08T00:00:00","Switzerland"
"3120017607","Dothistroma pini Hulbary",7.6047,47.5581,"",2018,3,20,"2018-03-20T00:00:00","Switzerland"
"3120019733","Dothistroma pini Hulbary",7.60222,46.74857,"",2018,4,11,"2018-04-11T00:00:00","Switzerland"
"3120070628","Dothistroma pini Hulbary",8.39697,47.28441,"",2018,4,4,"2018-04-04T00:00:00","Switzerland"
"3349147756","Dothistroma pini Hulbary",-80.540001,44.389999,"gass84",2018,5,28,"2018-05-28T00:00:00","Canada"
"3120435762","Dothistroma pini Hulbary",8.46478,47.37378,"",2018,8,8,"2018-08-08T00:00:00","Switzerland"
"3120354629","Dothistroma pini Hulbary",8.67169,47.73155,"",2017,1,11,"2017-01-11T00:00:00","Switzerland"
"3119989619","Dothistroma pini Hulbary",8.46478,47.37378,"",2017,2,8,"2017-02-08T00:00:00","Switzerland"
"3120070514","Dothistroma pini Hulbary",8.79574,47.37037,"",2017,2,27,"2017-02-27T00:00:00","Switzerland"
"3120369758","Dothistroma pini Hulbary",8.79232,47.23547,"",2017,2,27,"2017-02-27T00:00:00","Switzerland"
