"key","scientificName","decimalLongitude","decimalLatitude","issues","year","month","day","eventDate","country"
"3466116184","Dryocosmus kuriphilus Yasumatsu, 1951",8.99507,45.680378,"cdround",2022,1,23,"2022-01-23T11:18:09","Italy"
"3499402066","Dryocosmus kuriphilus Yasumatsu, 1951",-73.911103,42.021581,"cdround",2022,1,6,"2022-01-06T11:47:00","United States of America"
"3499447243","Dryocosmus kuriphilus Yasumatsu, 1951",-73.743728,41.277581,"cdround",2022,1,18,"2022-01-18T14:14:00","United States of America"
"3499463896","Dryocosmus kuriphilus Yasumatsu, 1951",-73.086886,40.914997,"cdround",2022,1,13,"2022-01-13T11:46:00","United States of America"
"3499500154","Dryocosmus kuriphilus Yasumatsu, 1951",-73.557661,40.862583,"cdround",2022,1,14,"2022-01-14T11:37:00","United States of America"
"3499619272","Dryocosmus kuriphilus Yasumatsu, 1951",-73.4837,40.849036,"cdround",2022,1,14,"2022-01-14T12:44:00","United States of America"
"3499653550","Dryocosmus kuriphilus Yasumatsu, 1951",-73.854911,42.632683,"cdround",2022,1,4,"2022-01-04T14:37:00","United States of America"
"3499713323","Dryocosmus kuriphilus Yasumatsu, 1951",-73.156364,40.743072,"cdround",2022,1,13,"2022-01-13T13:53:00","United States of America"
"3785010398","Dryocosmus kuriphilus Yasumatsu, 1951",-7.679962,43.064733,"cdround",2022,1,3,"2022-01-03T16:23:21","Spain"
"3826391761","Dryocosmus kuriphilus Yasumatsu, 1951",5.85,51.75,"osiic",2022,2,8,"2022-02-08T00:00:00","Netherlands"
"3743169802","Dryocosmus kuriphilus Yasumatsu, 1951",13.35762,46.17195,"cdround",2022,3,12,"2022-03-12T10:28:00","Italy"
"3826613376","Dryocosmus kuriphilus Yasumatsu, 1951",5.7,50.9,"osiic",2022,3,20,"2022-03-20T00:00:00","Netherlands"
"3760301061","Dryocosmus kuriphilus Yasumatsu, 1951",-72.542131,41.635456,"cdround",2022,4,4,"2022-04-04T12:28:00","United States of America"
"3760397567","Dryocosmus kuriphilus Yasumatsu, 1951",8.947893,45.756144,"cdround",2022,4,19,"2022-04-19T11:59:14","Italy"
"3764147134","Dryocosmus kuriphilus Yasumatsu, 1951",9.776449,44.088664,"",2022,4,19,"2022-04-19T11:25:00","Italy"
"3764560493","Dryocosmus kuriphilus Yasumatsu, 1951",127.208474,36.795693,"cdround",2022,4,22,"2022-04-22T00:00:00","Korea, Republic of"
"3822987422","Dryocosmus kuriphilus Yasumatsu, 1951",5.9,51.8,"osiic",2022,4,8,"2022-04-08T00:00:00","Netherlands"
"3905627874","Dryocosmus kuriphilus Yasumatsu, 1951",6,51.25,"osiic",2022,4,28,"2022-04-28T00:00:00","Netherlands"
"3772548127","Dryocosmus kuriphilus Yasumatsu, 1951",-8.169759,40.127525,"cdround",2022,5,3,"2022-05-03T13:18:39","Portugal"
"3784779517","Dryocosmus kuriphilus Yasumatsu, 1951",0.639863,51.59334,"cdround",2022,5,13,"2022-05-13T08:31:00","United Kingdom of Great Britain and Northern Ireland"
"3784787939","Dryocosmus kuriphilus Yasumatsu, 1951",39.723588,43.710883,"cdround",2022,5,15,"2022-05-15T14:59:00","Russian Federation"
"3784806790","Dryocosmus kuriphilus Yasumatsu, 1951",-0.009365,51.526936,"cdround",2022,5,14,"2022-05-14T14:57:41","United Kingdom of Great Britain and Northern Ireland"
"3784839316","Dryocosmus kuriphilus Yasumatsu, 1951",0.615311,51.588259,"cdround",2022,5,18,"2022-05-18T18:27:21","United Kingdom of Great Britain and Northern Ireland"
"3784925557","Dryocosmus kuriphilus Yasumatsu, 1951",-7.604396,42.961414,"cdround",2022,5,13,"2022-05-13T13:31:32","Spain"
"3785000619","Dryocosmus kuriphilus Yasumatsu, 1951",-0.008969,51.527019,"cdround",2022,5,14,"2022-05-14T14:57:00","United Kingdom of Great Britain and Northern Ireland"
"3802285585","Dryocosmus kuriphilus Yasumatsu, 1951",-86.534225,35.332158,"cdround",2022,5,20,"2022-05-20T15:01:29","United States of America"
"3802352094","Dryocosmus kuriphilus Yasumatsu, 1951",-85.293092,35.046239,"cdround",2022,5,22,"2022-05-22T13:04:51","United States of America"
"3802527523","Dryocosmus kuriphilus Yasumatsu, 1951",-80.647407,41.93131,"cdround",2022,5,14,"2022-05-14T12:18:36","United States of America"
"3802634636","Dryocosmus kuriphilus Yasumatsu, 1951",-86.534347,35.332387,"cdround",2022,5,20,"2022-05-20T12:37:29","United States of America"
"3802638007","Dryocosmus kuriphilus Yasumatsu, 1951",-79.45905,40.90317,"cdround",2022,5,19,"2022-05-19T10:18:00","United States of America"
"3802729304","Dryocosmus kuriphilus Yasumatsu, 1951",11.577884,42.861048,"cdround",2022,5,24,"2022-05-24T10:11:00","Italy"
"3858709683","Dryocosmus kuriphilus Yasumatsu, 1951",4.329855,50.932309,"cdround",2022,5,30,"2022-05-30T12:19:42","Belgium"
"3859426771","Dryocosmus kuriphilus Yasumatsu, 1951",-86.534317,35.332192,"cdround",2022,5,28,"2022-05-28T13:46:00","United States of America"
"3860107650","Dryocosmus kuriphilus Yasumatsu, 1951",4.329721,50.932418,"cdround",2022,5,30,"2022-05-30T12:19:39","Belgium"
"3860317593","Dryocosmus kuriphilus Yasumatsu, 1951",-81.9536,35.962223,"cdround",2022,5,14,"2022-05-14T19:10:00","United States of America"
"3903908194","Dryocosmus kuriphilus Yasumatsu, 1951",5.9,51.8,"osiic",2022,5,8,"2022-05-08T00:00:00","Netherlands"
"3903955161","Dryocosmus kuriphilus Yasumatsu, 1951",5.9,50.75,"osiic",2022,5,21,"2022-05-21T00:00:00","Netherlands"
"3903963714","Dryocosmus kuriphilus Yasumatsu, 1951",4.85,51.55,"osiic",2022,5,27,"2022-05-27T00:00:00","Netherlands"
"3903994287","Dryocosmus kuriphilus Yasumatsu, 1951",5.7,50.8,"osiic",2022,5,14,"2022-05-14T00:00:00","Netherlands"
"3904012597","Dryocosmus kuriphilus Yasumatsu, 1951",5.9,51.8,"osiic",2022,5,6,"2022-05-06T00:00:00","Netherlands"
"3904054155","Dryocosmus kuriphilus Yasumatsu, 1951",5.95,51.1,"osiic",2022,5,5,"2022-05-05T00:00:00","Netherlands"
"3904062918","Dryocosmus kuriphilus Yasumatsu, 1951",5.8,51.3,"osiic",2022,5,6,"2022-05-06T00:00:00","Netherlands"
"3904071687","Dryocosmus kuriphilus Yasumatsu, 1951",5.9,51.8,"osiic",2022,5,11,"2022-05-11T00:00:00","Netherlands"
"3904181637","Dryocosmus kuriphilus Yasumatsu, 1951",4.8,51.55,"osiic",2022,5,30,"2022-05-30T00:00:00","Netherlands"
"3904183490","Dryocosmus kuriphilus Yasumatsu, 1951",5.9,50.75,"osiic",2022,5,21,"2022-05-21T00:00:00","Netherlands"
"3904271467","Dryocosmus kuriphilus Yasumatsu, 1951",6.1,51.3,"osiic",2022,5,29,"2022-05-29T00:00:00","Netherlands"
"3904851817","Dryocosmus kuriphilus Yasumatsu, 1951",5.7,50.8,"osiic",2022,5,5,"2022-05-05T00:00:00","Netherlands"
"3904851878","Dryocosmus kuriphilus Yasumatsu, 1951",5.7,50.8,"osiic",2022,5,5,"2022-05-05T00:00:00","Netherlands"
"3904851882","Dryocosmus kuriphilus Yasumatsu, 1951",5.65,50.8,"osiic",2022,5,11,"2022-05-11T00:00:00","Netherlands"
"3905159309","Dryocosmus kuriphilus Yasumatsu, 1951",6.4,52.3,"osiic",2022,5,17,"2022-05-17T00:00:00","Netherlands"
"3905731369","Dryocosmus kuriphilus Yasumatsu, 1951",5.8,51.3,"osiic",2022,5,16,"2022-05-16T00:00:00","Netherlands"
"3906432615","Dryocosmus kuriphilus Yasumatsu, 1951",5.9,51.95,"osiic",2022,5,28,"2022-05-28T00:00:00","Netherlands"
"3912149024","Dryocosmus kuriphilus Yasumatsu, 1951",-72.904708,41.40713,"cdround",2022,5,2,"2022-05-02T13:36:00","United States of America"
"3923711541","Dryocosmus kuriphilus Yasumatsu, 1951",127.211048,36.793975,"cdround",2022,5,30,"2022-05-30T00:00:00","Korea, Republic of"
"3858610252","Dryocosmus kuriphilus Yasumatsu, 1951",-7.706974,40.380872,"cdround",2022,6,11,"2022-06-11T10:09:39","Portugal"
"3858656666","Dryocosmus kuriphilus Yasumatsu, 1951",-8.542519,41.085737,"cdround",2022,6,22,"2022-06-22T18:28:23","Portugal"
"3858694831","Dryocosmus kuriphilus Yasumatsu, 1951",0.125617,51.482364,"cdround",2022,6,10,"2022-06-10T11:39:46","United Kingdom of Great Britain and Northern Ireland"
"3859314524","Dryocosmus kuriphilus Yasumatsu, 1951",-77.572334,43.023995,"cdround",2022,6,20,"2022-06-20T15:18:00","United States of America"
"3859714029","Dryocosmus kuriphilus Yasumatsu, 1951",8.038367,49.578728,"cdround",2022,6,25,"2022-06-25T09:15:02","Germany"
"3860124993","Dryocosmus kuriphilus Yasumatsu, 1951",-85.372986,35.162594,"cdround",2022,6,7,"2022-06-07T18:06:00","United States of America"
"3860225278","Dryocosmus kuriphilus Yasumatsu, 1951",-7.706388,40.381539,"cdround",2022,6,11,"2022-06-11T10:19:08","Portugal"
"3860829715","Dryocosmus kuriphilus Yasumatsu, 1951",13.476122,52.488548,"cdround",2022,6,30,"2022-06-30T14:32:00","Germany"
"3903906207","Dryocosmus kuriphilus Yasumatsu, 1951",5.9,50.8,"osiic",2022,6,12,"2022-06-12T00:00:00","Netherlands"
"3904402146","Dryocosmus kuriphilus Yasumatsu, 1951",4.5,51.9,"osiic",2022,6,10,"2022-06-10T00:00:00","Netherlands"
"3904566650","Dryocosmus kuriphilus Yasumatsu, 1951",5.9,50.75,"osiic",2022,6,25,"2022-06-25T00:00:00","Netherlands"
"3904723113","Dryocosmus kuriphilus Yasumatsu, 1951",5.85,51.75,"osiic",2022,6,25,"2022-06-25T00:00:00","Netherlands"
"3905111999","Dryocosmus kuriphilus Yasumatsu, 1951",5.85,51.75,"osiic",2022,6,25,"2022-06-25T00:00:00","Netherlands"
"3905157929","Dryocosmus kuriphilus Yasumatsu, 1951",5.75,50.8,"osiic",2022,6,28,"2022-06-28T00:00:00","Netherlands"
"3905943373","Dryocosmus kuriphilus Yasumatsu, 1951",5.95,50.75,"osiic",2022,6,30,"2022-06-30T00:00:00","Netherlands"
"3905961736","Dryocosmus kuriphilus Yasumatsu, 1951",5.9,50.8,"osiic",2022,6,12,"2022-06-12T00:00:00","Netherlands"
"3858927183","Dryocosmus kuriphilus Yasumatsu, 1951",-7.935207,40.218607,"cdround",2022,7,3,"2022-07-03T11:30:44","Portugal"
"3859642227","Dryocosmus kuriphilus Yasumatsu, 1951",-78.065266,39.063792,"cdround",2022,7,4,"2022-07-04T16:16:00","United States of America"
"3860279999","Dryocosmus kuriphilus Yasumatsu, 1951",-7.91101,40.638852,"cdround",2022,7,2,"2022-07-02T10:50:55","Portugal"
"3904621533","Dryocosmus kuriphilus Yasumatsu, 1951",5.85,51.75,"osiic",2022,7,17,"2022-07-17T00:00:00","Netherlands"
"3905025190","Dryocosmus kuriphilus Yasumatsu, 1951",6.15,51.3,"osiic",2022,7,2,"2022-07-02T00:00:00","Netherlands"
"3905460589","Dryocosmus kuriphilus Yasumatsu, 1951",5.7,51.7,"osiic",2022,7,3,"2022-07-03T00:00:00","Netherlands"
"3906069162","Dryocosmus kuriphilus Yasumatsu, 1951",5.85,51.75,"osiic",2022,7,10,"2022-07-10T00:00:00","Netherlands"
"3906392813","Dryocosmus kuriphilus Yasumatsu, 1951",5.85,51.75,"osiic",2022,7,15,"2022-07-15T00:00:00","Netherlands"
"3906872368","Dryocosmus kuriphilus Yasumatsu, 1951",6,51.1,"osiic",2022,7,2,"2022-07-02T00:00:00","Netherlands"
"3906927356","Dryocosmus kuriphilus Yasumatsu, 1951",5.95,50.75,"osiic",2022,7,4,"2022-07-04T00:00:00","Netherlands"
"3906958759","Dryocosmus kuriphilus Yasumatsu, 1951",5.9,51.9,"osiic",2022,7,24,"2022-07-24T00:00:00","Netherlands"
"3907036716","Dryocosmus kuriphilus Yasumatsu, 1951",5.1,52.25,"osiic",2022,7,14,"2022-07-14T00:00:00","Netherlands"
"3907069927","Dryocosmus kuriphilus Yasumatsu, 1951",5.65,50.8,"osiic",2022,7,23,"2022-07-23T00:00:00","Netherlands"
"3907256189","Dryocosmus kuriphilus Yasumatsu, 1951",5.65,50.8,"osiic",2022,7,5,"2022-07-05T00:00:00","Netherlands"
"3923512508","Dryocosmus kuriphilus Yasumatsu, 1951",127.905047,35.734965,"cdround",2022,7,10,"2022-07-10T09:40:35","Korea, Republic of"
"3888718219","Dryocosmus kuriphilus Yasumatsu, 1951",8.943782,45.760557,"cdround",2022,8,7,"2022-08-07T11:01:58","Italy"
"3902738408","Dryocosmus kuriphilus Yasumatsu, 1951",8.930375,45.731243,"cdround",2022,8,19,"2022-08-19T16:15:18","Italy"
"3905269577","Dryocosmus kuriphilus Yasumatsu, 1951",5.85,51.75,"osiic",2022,8,19,"2022-08-19T00:00:00","Netherlands"
"3907118865","Dryocosmus kuriphilus Yasumatsu, 1951",6,51.1,"osiic",2022,8,5,"2022-08-05T00:00:00","Netherlands"
"3903332549","Dryocosmus kuriphilus Yasumatsu, 1951",-7.62045,42.936536,"cdround",2022,9,5,"2022-09-05T19:21:13","Spain"
"3912382532","Dryocosmus kuriphilus Yasumatsu, 1951",-6.988501,41.9238,"cdround",2022,9,19,"2022-09-19T15:36:55","Portugal"
"3915498245","Dryocosmus kuriphilus Yasumatsu, 1951",-6.991542,41.924938,"cdround",2022,9,23,"2022-09-23T12:42:39","Portugal"
"3915599436","Dryocosmus kuriphilus Yasumatsu, 1951",-7.030804,41.910549,"cdround",2022,9,23,"2022-09-23T09:45:02","Portugal"
"3915606842","Dryocosmus kuriphilus Yasumatsu, 1951",-0.171281,51.510775,"cdround",2022,9,26,"2022-09-26T14:31:00","United Kingdom of Great Britain and Northern Ireland"
"3925018056","Dryocosmus kuriphilus Yasumatsu, 1951",8.702092,45.791087,"cdround",2022,10,1,"2022-10-01T15:21:00","Italy"
"3925486412","Dryocosmus kuriphilus Yasumatsu, 1951",-80.384778,40.436072,"cdround",2022,10,9,"2022-10-09T13:04:24","United States of America"
"3925492389","Dryocosmus kuriphilus Yasumatsu, 1951",0.563567,51.243817,"cdround",2022,10,9,"2022-10-09T16:56:07","United Kingdom of Great Britain and Northern Ireland"
"3947127912","Dryocosmus kuriphilus Yasumatsu, 1951",-7.033683,41.859704,"cdround",2022,10,18,"2022-10-18T12:59:48","Portugal"
"3947211966","Dryocosmus kuriphilus Yasumatsu, 1951",-7.02498,41.869983,"cdround",2022,10,18,"2022-10-18T09:52:24","Portugal"
"3947446085","Dryocosmus kuriphilus Yasumatsu, 1951",-7.021282,41.878635,"cdround",2022,10,19,"2022-10-19T13:54:48","Portugal"
"3947514752","Dryocosmus kuriphilus Yasumatsu, 1951",-8.156747,40.146404,"cdround",2022,10,17,"2022-10-17T10:04:18","Portugal"
"3947583232","Dryocosmus kuriphilus Yasumatsu, 1951",-6.965951,41.845902,"cdround",2022,10,21,"2022-10-21T12:32:29","Portugal"
"3947653837","Dryocosmus kuriphilus Yasumatsu, 1951",-7.696652,40.324353,"cdround",2022,10,15,"2022-10-15T11:03:00","Portugal"
"3961284444","Dryocosmus kuriphilus Yasumatsu, 1951",-8.334267,40.01601,"cdround",2022,10,29,"2022-10-29T11:11:13","Portugal"
"3727733938","Dryocosmus kuriphilus Yasumatsu, 1951",5.2,51.6,"osiic",2021,1,1,"2021-01-01T00:00:00","Netherlands"
"3727959326","Dryocosmus kuriphilus Yasumatsu, 1951",5.7,51.8,"osiic",2021,1,9,"2021-01-09T00:00:00","Netherlands"
"3039202209","Dryocosmus kuriphilus Yasumatsu, 1951",-0.168556,51.503715,"cdround",2021,2,1,"2021-02-01T13:44:00","United Kingdom of Great Britain and Northern Ireland"
"3113426407","Dryocosmus kuriphilus Yasumatsu, 1951",-82.182953,40.643792,"cdround",2021,2,28,"2021-02-28T17:37:05","United States of America"
"3728403428","Dryocosmus kuriphilus Yasumatsu, 1951",5.9,51.7,"osiic",2021,2,16,"2021-02-16T00:00:00","Netherlands"
"3719613669","Dryocosmus kuriphilus Yasumatsu, 1951",5.55,51.95,"osiic",2021,3,30,"2021-03-30T00:00:00","Netherlands"
"3728323051","Dryocosmus kuriphilus Yasumatsu, 1951",5.85,51.75,"osiic",2021,3,22,"2021-03-22T00:00:00","Netherlands"
"3729724418","Dryocosmus kuriphilus Yasumatsu, 1951",5.35,51.6,"osiic",2021,3,13,"2021-03-13T00:00:00","Netherlands"
"3090649962","Dryocosmus kuriphilus Yasumatsu, 1951",-8.613228,41.288431,"cdround",2021,4,15,"2021-04-15T10:51:33","Portugal"
"3097064079","Dryocosmus kuriphilus Yasumatsu, 1951",-8.23852,40.895201,"cdround",2021,4,18,"2021-04-18T18:53:00","Portugal"
"3117783457","Dryocosmus kuriphilus Yasumatsu, 1951",127.181917,36.718835,"cdround",2021,4,8,"2021-04-08T00:00:00","Korea, Republic of"
"3314144426","Dryocosmus kuriphilus Yasumatsu, 1951",-8.734446,41.286166,"cdround",2021,4,10,"2021-04-10T13:05:06","Portugal"
"3314203419","Dryocosmus kuriphilus Yasumatsu, 1951",-8.275457,40.028167,"cdround",2021,4,18,"2021-04-18T18:23:35","Portugal"
"3729738958","Dryocosmus kuriphilus Yasumatsu, 1951",5.7,50.8,"osiic",2021,4,7,"2021-04-07T00:00:00","Netherlands"
"3112666514","Dryocosmus kuriphilus Yasumatsu, 1951",-8.384922,40.946844,"cdround",2021,5,2,"2021-05-02T17:05:57","Portugal"
"3112681140","Dryocosmus kuriphilus Yasumatsu, 1951",-85.633317,34.392342,"cdround",2021,5,2,"2021-05-02T12:23:00","United States of America"
"3112910499","Dryocosmus kuriphilus Yasumatsu, 1951",-8.255098,40.932843,"cdround",2021,5,4,"2021-05-04T16:10:01","Portugal"
"3113355152","Dryocosmus kuriphilus Yasumatsu, 1951",8.155643,44.159767,"cdround",2021,5,7,"2021-05-07T15:00:01","Italy"
"3113508733","Dryocosmus kuriphilus Yasumatsu, 1951",-1.924358,48.213435,"cdround",2021,5,7,"2021-05-07T16:23:00","France"
"3113564269","Dryocosmus kuriphilus Yasumatsu, 1951",136.406298,35.454749,"cdround",2021,5,9,"2021-05-09T15:35:44","Japan"
"3113688756","Dryocosmus kuriphilus Yasumatsu, 1951",10.160975,42.785953,"cdround",2021,5,12,"2021-05-12T10:06:00","Italy"
"3113698368","Dryocosmus kuriphilus Yasumatsu, 1951",8.955173,45.766747,"cdround",2021,5,10,"2021-05-10T15:19:18","Italy"
"3118206383","Dryocosmus kuriphilus Yasumatsu, 1951",3.143201,50.60877,"cdround",2021,5,18,"2021-05-18T12:39:00","France"
"3118220395","Dryocosmus kuriphilus Yasumatsu, 1951",3.143207,50.608777,"cdround",2021,5,18,"2021-05-18T12:39:00","France"
"3118402746","Dryocosmus kuriphilus Yasumatsu, 1951",-1.787176,47.874381,"cdround",2021,5,9,"2021-05-09T16:08:00","France"
"3118426506","Dryocosmus kuriphilus Yasumatsu, 1951",-82.497719,35.453675,"cdround",2021,5,18,"2021-05-18T17:58:00","United States of America"
"3124713664","Dryocosmus kuriphilus Yasumatsu, 1951",5.903827,45.721024,"cdround",2021,5,22,"2021-05-22T16:20:00","France"
"3124714187","Dryocosmus kuriphilus Yasumatsu, 1951",0.463838,51.380595,"cdround",2021,5,18,"2021-05-18T18:39:47","United Kingdom of Great Britain and Northern Ireland"
"3124811705","Dryocosmus kuriphilus Yasumatsu, 1951",8.957335,45.768963,"cdround",2021,5,21,"2021-05-21T14:53:01","Italy"
"3301864970","Dryocosmus kuriphilus Yasumatsu, 1951",-82.066219,39.995172,"cdround",2021,5,23,"2021-05-23T13:53:00","United States of America"
"3327713174","Dryocosmus kuriphilus Yasumatsu, 1951",-6.996238,43.070904,"cdround",2021,5,3,"2021-05-03T16:24:00","Spain"
"3451311301","Dryocosmus kuriphilus Yasumatsu, 1951",14.367639,45.97116,"cdround,cudc,gass84",2021,5,27,"2021-05-27T00:00:00","Slovenia"
"3720155491","Dryocosmus kuriphilus Yasumatsu, 1951",6.721576,51.652136,"cdround,osiic",2021,5,16,"2021-05-16T00:00:00","Germany"
"3720502396","Dryocosmus kuriphilus Yasumatsu, 1951",5.15,51.55,"osiic",2021,5,28,"2021-05-28T00:00:00","Netherlands"
"3720846113","Dryocosmus kuriphilus Yasumatsu, 1951",4.4,51.5,"osiic",2021,5,27,"2021-05-27T00:00:00","Netherlands"
"3720853565","Dryocosmus kuriphilus Yasumatsu, 1951",5.4,52,"osiic",2021,5,13,"2021-05-13T00:00:00","Netherlands"
"3721103063","Dryocosmus kuriphilus Yasumatsu, 1951",5.5,51.95,"osiic",2021,5,23,"2021-05-23T00:00:00","Netherlands"
"3721112198","Dryocosmus kuriphilus Yasumatsu, 1951",5.9,51.7,"osiic",2021,5,11,"2021-05-11T00:00:00","Netherlands"
"3721144839","Dryocosmus kuriphilus Yasumatsu, 1951",5.7,50.9,"osiic",2021,5,22,"2021-05-22T00:00:00","Netherlands"
