"key","scientificName","decimalLongitude","decimalLatitude","issues","year","month","day","eventDate","country"
"3724102885","Eulachnus rileyi (Williams, 1911)",4.3,52.1,"osiic",2022,1,29,"2022-01-29T00:00:00","Netherlands"
"3773516227","Eulachnus rileyi (Williams, 1911)",-110.90841,32.272271,"",2022,4,24,"2022-04-24T21:18:00","United States of America"
"3960970876","Eulachnus rileyi (Williams, 1911)",-86.773159,33.392497,"cdround",2022,10,26,"2022-10-26T12:29:00","United States of America"
"3963235177","Eulachnus rileyi (Williams, 1911)",-78.934897,35.958488,"cdround",2022,11,6,"2022-11-06T11:23:42","United States of America"
"3963240203","Eulachnus rileyi (Williams, 1911)",-86.454613,33.543716,"cdround",2022,11,6,"2022-11-06T23:52:02","United States of America"
"3963386283","Eulachnus rileyi (Williams, 1911)",-78.935097,35.95847,"cdround",2022,11,7,"2022-11-07T14:34:36","United States of America"
"3963517275","Eulachnus rileyi (Williams, 1911)",-78.976123,35.202333,"cdround",2022,11,6,"2022-11-06T11:03:35","United States of America"
"3963554820","Eulachnus rileyi (Williams, 1911)",-86.792123,33.387219,"cdround",2022,11,2,"2022-11-02T11:38:00","United States of America"
"3398692540","Eulachnus rileyi (Williams, 1911)",-86.773159,33.392497,"cdround",2021,2,27,"2021-02-27T10:14:00","United States of America"
"3398737579","Eulachnus rileyi (Williams, 1911)",-86.773159,33.392497,"cdround",2021,2,25,"2021-02-25T10:44:00","United States of America"
"3456470248","Eulachnus rileyi (Williams, 1911)",-77.454981,38.90202,"cdround",2021,6,1,"2021-06-01T09:39:00","United States of America"
"3759184755","Eulachnus rileyi (Williams, 1911)",-86.773159,33.392497,"cdround",2021,11,30,"2021-11-30T12:38:00","United States of America"
"3455607126","Eulachnus rileyi (Williams, 1911)",-80.797456,35.183217,"cdround",2021,12,6,"2021-12-06T00:00:00","United States of America"
"3398663547","Eulachnus rileyi (Williams, 1911)",-86.773159,33.392497,"cdround",2019,12,14,"2019-12-14T16:18:00","United States of America"
"3442159951","BOLD:AAC6347",-85.334,10.763,"gass84",2018,5,24,"2018-05-24T00:00:00","Costa Rica"
"3441463445","BOLD:AAC6347",31.508,-25.472,"gass84",2018,6,23,"2018-06-23T00:00:00","South Africa"
"3441487490","BOLD:AAC6347",31.508,-25.472,"gass84",2018,6,23,"2018-06-23T00:00:00","South Africa"
"3441524659","BOLD:AAC6347",31.895,-25.354,"gass84",2018,6,9,"2018-06-09T00:00:00","South Africa"
"3441528829","BOLD:AAC6347",31.58,-24.983,"gass84",2018,6,2,"2018-06-02T00:00:00","South Africa"
"3442612871","BOLD:AAC6347",31.584,-24.993,"gass84",2018,6,5,"2018-06-05T00:00:00","South Africa"
"3443229091","BOLD:AAC6347",31.584,-24.993,"gass84",2018,6,5,"2018-06-05T00:00:00","South Africa"
"1453413853","Eulachnus rileyi (Williams, 1911)",-117.951258,33.92698,"cdround",2017,2,9,"2017-02-09T19:04:00","United States of America"
"1453433486","Eulachnus rileyi (Williams, 1911)",-117.946647,33.92215,"cdround",2017,2,16,"2017-02-16T18:28:00","United States of America"
"1500266058","Eulachnus rileyi (Williams, 1911)",-117.947753,33.941723,"cdround",2017,4,17,"2017-04-17T19:04:00","United States of America"
"1500296350","Eulachnus rileyi (Williams, 1911)",-117.958482,33.921698,"cdround",2017,4,21,"2017-04-21T19:11:00","United States of America"
