"key","scientificName","decimalLongitude","decimalLatitude","issues","year","month","day","eventDate","country"
"3860744313","Euwallacea fornicatus Wood & Bright, 1992",26.505749,-33.30843,"cdround",2022,1,9,"2022-01-09T19:09:47","South Africa"
"3773790794","Euwallacea fornicatus Wood & Bright, 1992",18.860101,-34.069021,"cdround",2022,5,11,"2022-05-11T10:54:39","South Africa"
"3097263499","Euwallacea fornicatus Wood & Bright, 1992",18.868934,-34.077035,"cdround",2021,3,4,"2021-03-04T10:30:00","South Africa"
"3112731411","Euwallacea fornicatus Wood & Bright, 1992",18.835988,-34.0518,"cdround",2021,4,14,"2021-04-14T10:00:33","South Africa"
"3113335709","Euwallacea fornicatus Wood & Bright, 1992",18.860665,-34.060812,"cdround",2021,5,3,"2021-05-03T17:01:00","South Africa"
"2883212652","Euwallacea fornicatus Wood & Bright, 1992",35.124772,32.869307,"cdround",2020,10,6,"2020-10-06T11:35:00","Israel"
"3005089589","Euwallacea fornicatus Wood & Bright, 1992",-118.1334,33.772125,"",2020,11,26,"2020-11-26T14:52:12","United States of America"
"3321106404","Euwallacea fornicatus Wood & Bright, 1992",-118.097667,34.176387,"cdround",2020,11,18,"2020-11-18T12:13:13","United States of America"
"3391317395","Euwallacea fornicatus Wood & Bright, 1992",-118.10468,34.19322,"",2020,11,24,"2020-11-24T11:50:38","United States of America"
"3097266489","Euwallacea fornicatus Wood & Bright, 1992",-158.19115,21.480587,"cdround",2020,12,3,"2020-12-03T13:18:00","United States of America"
"2238823036","Euwallacea fornicatus Wood & Bright, 1992",-118.290206,34.13395,"cdround",2019,4,26,"2019-04-26T10:39:00","United States of America"
"2283280056","Euwallacea fornicatus Wood & Bright, 1992",-117.866484,33.805496,"cdround",2019,7,11,"2019-07-11T15:38:51","United States of America"
"3112572330","Euwallacea fornicatus Wood & Bright, 1992",-119.272015,34.44579,"cdround",2019,12,19,"2019-12-19T11:49:39","United States of America"
"2237535137","Euwallacea fornicatus Wood & Bright, 1992",-118.44407,34.074435,"",2016,9,19,"2016-09-19T17:15:00","United States of America"
"2237535154","Euwallacea fornicatus Wood & Bright, 1992",-117.81653,34.162815,"",2016,9,25,"2016-09-25T15:05:00","United States of America"
"2237535162","Euwallacea fornicatus Wood & Bright, 1992",-117.816497,34.162967,"cdround",2016,9,25,"2016-09-25T00:00:00","United States of America"
"2006101622","Euwallacea fornicatus Wood & Bright, 1992",-118.209342,34.126933,"cdround",2016,10,28,"2016-10-28T17:00:19","United States of America"
"2898711955","Euwallacea fornicatus Wood & Bright, 1992",-119.10993,34.3013,"osiic,colmano,inmafu",2016,11,17,"2016-11-17T00:00:00","United States of America"
"2898715959","Euwallacea fornicatus Wood & Bright, 1992",-119.10993,34.3013,"osiic,colmano,inmafu",2016,11,17,"2016-11-17T00:00:00","United States of America"
"2898716969","Euwallacea fornicatus Wood & Bright, 1992",-119.06531,34.33829,"osiic,colmano,inmafu",2016,11,17,"2016-11-17T00:00:00","United States of America"
"2898772968","Euwallacea fornicatus Wood & Bright, 1992",-119.06531,34.33829,"osiic,colmano,inmafu",2016,11,17,"2016-11-17T00:00:00","United States of America"
"2898773977","Euwallacea fornicatus Wood & Bright, 1992",-119.10641,34.32506,"osiic,colmano,inmafu",2016,11,16,"2016-11-16T00:00:00","United States of America"
"2898777974","Euwallacea fornicatus Wood & Bright, 1992",-119.10424,34.32531,"osiic,colmano,inmafu",2016,11,16,"2016-11-16T00:00:00","United States of America"
"2249401794","BOLD:ADU3400",76.82,11.35,"gass84",2014,5,8,"2014-05-08T00:00:00","India"
"3347429746","Euwallacea fornicatus Wood & Bright, 1992",76.82,11.35,"gass84",2014,5,7,"2014-05-07T00:00:00","India"
