"key","scientificName","decimalLongitude","decimalLatitude","issues","year","month","day","eventDate","country"
"3947667937","Fusarium circinatum Nirenberg & O'Donnell",-121.084442,35.538436,"cdround",2022,10,11,"2022-10-11T14:40:00","United States of America"
"3097252481","Fusarium circinatum Nirenberg & O'Donnell",-121.946179,36.518327,"cdround",2021,1,6,"2021-01-06T14:26:00","United States of America"
"3097344740","Fusarium circinatum Nirenberg & O'Donnell",-82.207047,29.763162,"cdround",2021,2,24,"2021-02-24T12:51:40","United States of America"
"3097075501","Fusarium circinatum Nirenberg & O'Donnell",-82.208953,29.741655,"cdround",2021,3,3,"2021-03-03T13:37:43","United States of America"
"3097315518","Fusarium circinatum Nirenberg & O'Donnell",-81.957393,29.84916,"cdround",2021,3,13,"2021-03-13T15:03:29","United States of America"
"3109040078","Fusarium circinatum Nirenberg & O'Donnell",-81.722972,33.50183,"cdround",2021,4,19,"2021-04-19T14:29:03","United States of America"
"3109296548","Fusarium circinatum Nirenberg & O'Donnell",-81.722501,33.501971,"cdround",2021,4,19,"2021-04-19T14:31:34","United States of America"
"3109028368","Fusarium circinatum Nirenberg & O'Donnell",-78.597569,36.697518,"cdround",2020,3,23,"2020-03-23T10:47:52","United States of America"
"3817599824","Fusarium circinatum Nirenberg & O'Donnell",-82.566879,35.611259,"gass84",2019,7,1,"2019-07-01T00:00:00","United States of America"
"3363193266","Fusarium circinatum Nirenberg & O'Donnell",138.125403,-35.638699,"",2014,12,8,"2014-12-08T00:00:00","Australia"
"3360987374","Fusarium circinatum Nirenberg & O'Donnell",146.6099,-42.6831,"",2013,7,18,"2013-07-18T00:00:00","Australia"
"3361617337","Fusarium circinatum Nirenberg & O'Donnell",148.2833,-42.0228,"",2013,7,17,"2013-07-17T00:00:00","Australia"
"3361976398","Fusarium circinatum Nirenberg & O'Donnell",148.340808,-42.106246,"",2013,7,16,"2013-07-16T00:00:00","Australia"
