"key","scientificName","decimalLongitude","decimalLatitude","issues","year","month","day","eventDate","country"
"3455469693","Ganoderma boninense Pat.",120.630858,23.600003,"cdround",2021,11,27,"2021-11-27T15:17:14","Chinese Taipei"
"3466113485","Ganoderma boninense Pat.",145.745178,-16.92283,"cdround",2020,8,8,"2020-08-08T13:21:55","Australia"
"2441429370","Ganoderma boninense Pat.",98.2624,9.132,"gass84",2015,6,10,"2015-06-10T00:00:00","Thailand"
"2022832809","Ganoderma boninense Pat.",-82.3018,9.3852,"gass84",2013,2,1,"2013-02-01T00:00:00","Panama"
"1829033277","Ganoderma boninense Pat.",131.23572,25.85586,"cdround,gass84,incomis,inmafu",2004,9,27,"2004-09-27T00:00:00","Japan"
"2814566753","Ganoderma boninense Pat.",120.997345,22.709056,"cudc",2003,7,18,"2003-07-18T00:00:00","Chinese Taipei"
"2814564245","Ganoderma boninense Pat.",120.883333,23.933333,"cudc",2002,6,21,"2002-06-21T00:00:00","Chinese Taipei"
"2814564243","Ganoderma boninense Pat.",120.883333,23.933333,"cudc",2002,9,17,"2002-09-17T00:00:00","Chinese Taipei"
"2814566761","Ganoderma boninense Pat.",121.583333,24.766667,"cudc",2001,6,28,"2001-06-28T00:00:00","Chinese Taipei"
"2814564237","Ganoderma boninense Pat.",120.833333,22.083333,"cudc",1998,9,10,"1998-09-10T00:00:00","Chinese Taipei"
"2814564235","Ganoderma boninense Pat.",120.883333,23.933333,"cudc",1996,9,12,"1996-09-12T00:00:00","Chinese Taipei"
"2814566757","Ganoderma boninense Pat.",120.883333,23.933333,"cudc",1995,8,3,"1995-08-03T00:00:00","Chinese Taipei"
"2814564248","Ganoderma boninense Pat.",120.883333,23.933333,"cudc",1994,5,16,"1994-05-16T00:00:00","Chinese Taipei"
"2814564250","Ganoderma boninense Pat.",120.833333,22.083333,"cudc",1992,6,16,"1992-06-16T00:00:00","Chinese Taipei"
"1829651696","Ganoderma boninense Pat.",131.47,31.794722,"gass84,incomis,inmafu",1992,9,14,"1992-09-14T00:00:00","Japan"
"2814566760","Ganoderma boninense Pat.",121.583333,24.766667,"cudc",1991,8,8,"1991-08-08T00:00:00","Chinese Taipei"
"1829029047","Ganoderma boninense Pat.",129.29805,28.27614,"cdround,gass84,incomis,inmafu",1988,11,20,"1988-11-20T00:00:00","Japan"
"1829029060","Ganoderma boninense Pat.",136.07222,20.42058,"cdround,gass84,incomis,inmafu",1977,11,25,"1977-11-25T00:00:00","Japan"
"1829045309","Ganoderma boninense Pat.",142.15388,26.63183,"cdround,gass84,incomis,inmafu",1977,12,3,"1977-12-03T00:00:00","Japan"
"1829045511","Ganoderma boninense Pat.",142.15388,26.63183,"cdround,gass84,incomis,inmafu",1977,12,3,"1977-12-03T00:00:00","Japan"
"1829045517","Ganoderma boninense Pat.",142.15388,26.63183,"cdround,gass84,incomis,inmafu",1977,12,3,"1977-12-03T00:00:00","Japan"
"1829045649","Ganoderma boninense Pat.",142.15388,26.63183,"cdround,gass84,incomis,inmafu",1977,12,3,"1977-12-03T00:00:00","Japan"
"1829047699","Ganoderma boninense Pat.",142.17984,26.61989,"cdround,gass84,incomis,inmafu",1977,12,3,"1977-12-03T00:00:00","Japan"
"1829029079","Ganoderma boninense Pat.",136.07222,20.42058,"cdround,gass84,incomis,inmafu",1968,11,25,"1968-11-25T00:00:00","Japan"
"1829049525","Ganoderma boninense Pat.",131.47816,31.80131,"gass84,incomis,inmafu",1957,11,4,"1957-11-04T00:00:00","Japan"
"1829049653","Ganoderma boninense Pat.",131.6893,32.48089,"gass84,incomis,inmafu",1951,1,15,"1951-01-15T00:00:00","Japan"
"1829029204","Ganoderma boninense Pat.",131.23784,25.84256,"cdround,gass84,incomis,inmafu",1939,2,1,"1939-02-01T00:00:00","Japan"
"1829057270","Ganoderma boninense Pat.",123.56372,24.19569,"cdround,gass84,incomis,inmafu",1939,2,23,"1939-02-23T00:00:00","Japan"
"1829051016","Ganoderma boninense Pat.",131.09697,31.47431,"cdround,gass84,incomis,inmafu",1938,1,1,"1938-01-01T00:00:00","Japan"
"1829053453","Ganoderma boninense Pat.",136.07222,20.42058,"cdround,gass84,incomis,inmafu",1936,7,22,"1936-07-22T00:00:00","Japan"
"1829053496","Ganoderma boninense Pat.",136.07222,20.42058,"cdround,gass84,incomis,inmafu",1936,11,1,"1936-11-01T00:00:00","Japan"
"1829074291","Ganoderma boninense Pat.",136.07222,20.42058,"cdround,cudc,gass84,incomis,inmafu",1936,11,1,"1936-11-01T00:00:00","Japan"
"1829053365","Ganoderma boninense Pat.",131.47816,31.80131,"gass84,incomis,inmafu",1932,7,19,"1932-07-19T00:00:00","Japan"
"1829029350","Ganoderma boninense Pat.",136.07222,20.42058,"cdround,gass84,incomis,inmafu",1925,4,17,"1925-04-17T00:00:00","Japan"
"1829053553","Ganoderma boninense Pat.",131.47816,31.80131,"gass84,incomis,inmafu",1923,1,1,"1923-01-01T00:00:00","Japan"
"1829053810","Ganoderma boninense Pat.",136.07222,20.42058,"cdround,gass84,incomis,inmafu",1915,6,10,"1915-06-10T00:00:00","Japan"
"1829053211","Ganoderma boninense Pat.",136.07222,20.42058,"cdround,gass84,incomis,inmafu",1912,1,1,"1912-01-01T00:00:00","Japan"
"1829053548","Ganoderma boninense Pat.",142.21094,27.09042,"cdround,gass84,incomis,inmafu",1912,7,10,"1912-07-10T00:00:00","Japan"
"1829048247","Ganoderma boninense Pat.",136.07222,20.42058,"cdround,gass84,incomis,inmafu",NA,NA,NA,NA,"Japan"
