"key","scientificName","decimalLongitude","decimalLatitude","issues","year","month","day","eventDate","country"
"3456630625","Gonipterus platensis Marelli, 1926",-78.466764,-0.17695,"cdround",2022,1,16,"2022-01-16T15:04:00","Ecuador"
"3457072709","Gonipterus platensis Marelli, 1926",-78.467264,-0.175151,"cdround",2022,1,16,"2022-01-16T14:40:00","Ecuador"
"3457169903","Gonipterus platensis Marelli, 1926",-78.466841,-0.178016,"cdround",2022,1,16,"2022-01-16T13:52:00","Ecuador"
"3457178089","Gonipterus platensis Marelli, 1926",-78.479722,-0.171389,"cdround",2022,1,16,"2022-01-16T14:41:26","Ecuador"
"3466111527","Gonipterus platensis Marelli, 1926",172.391113,-43.6107,"cdround",2022,1,31,"2022-01-31T12:28:47","New Zealand"
"3466521313","Gonipterus platensis Marelli, 1926",172.391145,-43.610747,"cdround",2022,1,31,"2022-01-31T12:26:40","New Zealand"
"3468974655","Gonipterus platensis Marelli, 1926",-73.028964,-36.835556,"cdround",2022,1,27,"2022-01-27T15:06:00","Chile"
"3468709857","Gonipterus platensis Marelli, 1926",-73.135178,-39.911842,"cdround",2022,2,6,"2022-02-06T13:47:55","Chile"
"3468840505","Gonipterus platensis Marelli, 1926",172.587525,-43.524913,"cdround",2022,2,4,"2022-02-04T14:34:16","New Zealand"
"3468890849","Gonipterus platensis Marelli, 1926",-72.937272,-39.38973,"cdround",2022,2,7,"2022-02-07T12:50:00","Chile"
"3468983195","Gonipterus platensis Marelli, 1926",-56.880894,-37.107331,"cdround",2022,2,7,"2022-02-07T11:16:00","Argentina"
"3499664710","Gonipterus platensis Marelli, 1926",-78.427231,-0.193206,"cdround",2022,2,11,"2022-02-11T10:35:00","Ecuador"
"3712589569","Gonipterus platensis Marelli, 1926",170.622915,-45.821562,"cdround",2022,2,28,"2022-02-28T13:45:00","New Zealand"
"3759357345","Gonipterus platensis Marelli, 1926",172.69639,-43.557817,"cdround",2022,3,24,"2022-03-24T18:15:00","New Zealand"
"3759400303","Gonipterus platensis Marelli, 1926",172.69639,-43.557817,"cdround",2022,3,24,"2022-03-24T18:11:00","New Zealand"
"3759420793","Gonipterus platensis Marelli, 1926",-78.449577,-0.092582,"cdround",2022,4,21,"2022-04-21T15:20:47","Ecuador"
"3759448782","Gonipterus platensis Marelli, 1926",-78.449504,-0.092575,"cdround",2022,4,21,"2022-04-21T15:17:56","Ecuador"
"3859412021","Gonipterus platensis Marelli, 1926",-78.474748,-0.302991,"cdround",2022,4,9,"2022-04-09T12:19:37","Ecuador"
"3915265492","Gonipterus platensis Marelli, 1926",-73.462517,-41.396308,"cdround",2022,4,16,"2022-04-16T14:28:30","Chile"
"3772509120","Gonipterus platensis Marelli, 1926",-79.196396,-4.014261,"cdround",2022,5,1,"2022-05-01T14:17:00","Ecuador"
"3772522484","Gonipterus platensis Marelli, 1926",-79.226334,-4.038622,"cdround",2022,5,1,"2022-05-01T12:10:00","Ecuador"
"3772544380","Gonipterus platensis Marelli, 1926",-79.22683,-4.04003,"cdround",2022,5,1,"2022-05-01T14:08:00","Ecuador"
"3772582355","Gonipterus platensis Marelli, 1926",170.623527,-45.821689,"cdround",2022,5,1,"2022-05-01T11:24:00","New Zealand"
"3772626455","Gonipterus platensis Marelli, 1926",-74.041891,4.727202,"cdround",2022,5,8,"2022-05-08T12:52:22","Colombia"
"3772858004","Gonipterus platensis Marelli, 1926",-62.971052,-35.469994,"cdround",2022,5,2,"2022-05-02T15:52:00","Argentina"
"3772870130","Gonipterus platensis Marelli, 1926",-79.227493,-4.040183,"cdround",2022,5,1,"2022-05-01T15:32:00","Ecuador"
"3772876465","Gonipterus platensis Marelli, 1926",-73.264838,-39.791672,"cdround",2022,5,7,"2022-05-07T15:38:12","Chile"
"3773086027","Gonipterus platensis Marelli, 1926",-79.227463,-4.040108,"cdround",2022,5,1,"2022-05-01T15:15:00","Ecuador"
"3773241616","Gonipterus platensis Marelli, 1926",-79.226334,-4.038622,"cdround",2022,5,1,"2022-05-01T12:13:00","Ecuador"
"3773544463","Gonipterus platensis Marelli, 1926",-79.217987,-4.020384,"cdround",2022,5,1,"2022-05-01T15:00:00","Ecuador"
"3773544464","Gonipterus platensis Marelli, 1926",-79.209938,-4.02319,"cdround",2022,5,1,"2022-05-01T15:08:00","Ecuador"
"3773677509","Gonipterus platensis Marelli, 1926",-79.226334,-4.038622,"cdround",2022,5,1,"2022-05-01T12:08:00","Ecuador"
"3773769147","Gonipterus platensis Marelli, 1926",-79.22683,-4.04003,"cdround",2022,5,1,"2022-05-01T14:06:00","Ecuador"
"3773798436","Gonipterus platensis Marelli, 1926",-79.226334,-4.038622,"cdround",2022,5,1,"2022-05-01T12:07:00","Ecuador"
"3784909596","Gonipterus platensis Marelli, 1926",-56.19645,-33.756562,"cdround",2022,5,14,"2022-05-14T12:40:44","Uruguay"
"3802373233","Gonipterus platensis Marelli, 1926",-78.457474,-0.391257,"cdround",2022,5,22,"2022-05-22T10:28:31","Ecuador"
"3858530010","Gonipterus platensis Marelli, 1926",-78.526833,-0.339422,"cdround",2022,5,29,"2022-05-29T13:49:37","Ecuador"
"3858715570","Gonipterus platensis Marelli, 1926",-78.466799,-0.177142,"cdround",2022,6,4,"2022-06-04T14:40:00","Ecuador"
"3858738843","Gonipterus platensis Marelli, 1926",-73.257272,-39.804147,"cdround",2022,6,20,"2022-06-20T12:01:00","Chile"
"3859764790","Gonipterus platensis Marelli, 1926",-72.210363,-38.63116,"cdround",2022,6,30,"2022-06-30T16:44:53","Chile"
"3860229388","Gonipterus platensis Marelli, 1926",-55.256195,-34.81535,"",2022,6,4,"2022-06-04T11:51:59","Uruguay"
"3860391497","Gonipterus platensis Marelli, 1926",-78.466564,-0.176377,"cdround",2022,6,4,"2022-06-04T15:26:00","Ecuador"
"3860816709","Gonipterus platensis Marelli, 1926",172.643611,-43.588889,"cdround",2022,6,15,"2022-06-15T11:28:50","New Zealand"
"3859313065","Gonipterus platensis Marelli, 1926",-5.590133,43.546705,"cdround",2022,7,2,"2022-07-02T14:50:53","Spain"
"3859834405","Gonipterus platensis Marelli, 1926",-122.103179,37.752896,"cdround",2022,7,3,"2022-07-03T10:58:31","United States of America"
"3872891171","Gonipterus platensis Marelli, 1926",-122.379989,37.968084,"cdround",2022,7,15,"2022-07-15T09:55:58","United States of America"
"3873062895","Gonipterus platensis Marelli, 1926",-78.460986,-0.176269,"cdround",2022,7,9,"2022-07-09T13:32:27","Ecuador"
"3873423170","Gonipterus platensis Marelli, 1926",-73.243918,-39.840445,"cdround",2022,7,23,"2022-07-23T16:54:51","Chile"
"3873471198","Gonipterus platensis Marelli, 1926",-55.567734,-33.873317,"cdround",2022,7,22,"2022-07-22T15:02:00","Uruguay"
"3881398225","Gonipterus platensis Marelli, 1926",-71.501678,-33.044399,"cdround",2022,7,30,"2022-07-30T14:21:00","Chile"
"3892308984","Gonipterus platensis Marelli, 1926",-122.453863,37.74775,"cdround",2022,8,13,"2022-08-13T12:09:58","United States of America"
"3892410223","Gonipterus platensis Marelli, 1926",175.354387,-41.082418,"cdround",2022,8,16,"2022-08-16T21:15:00","New Zealand"
"3902323965","Gonipterus platensis Marelli, 1926",175.35505,-41.081952,"cdround",2022,8,16,"2022-08-16T21:05:00","New Zealand"
"3902700615","Gonipterus platensis Marelli, 1926",-78.366798,-0.232247,"cdround",2022,8,24,"2022-08-24T09:38:02","Ecuador"
"3902734449","Gonipterus platensis Marelli, 1926",-17.004591,32.656883,"cdround",2022,8,23,"2022-08-23T14:55:16","Portugal"
"3915426245","Gonipterus platensis Marelli, 1926",170.520644,-45.858261,"cdround",2022,9,21,"2022-09-21T14:25:00","New Zealand"
"3915658064","Gonipterus platensis Marelli, 1926",-9.223397,38.647113,"cdround",2022,9,26,"2022-09-26T14:12:13","Portugal"
"3925019658","Gonipterus platensis Marelli, 1926",-8.402644,43.321181,"cdround",2022,9,20,"2022-09-20T11:36:51","Spain"
"3925021902","Gonipterus platensis Marelli, 1926",170.588438,-45.744912,"cdround",2022,10,3,"2022-10-03T17:49:40","New Zealand"
"3947199653","Gonipterus platensis Marelli, 1926",-118.379719,34.165394,"cdround",2022,10,16,"2022-10-16T12:19:08","United States of America"
"3947465711","Gonipterus platensis Marelli, 1926",174.783944,-41.325703,"cdround",2022,10,24,"2022-10-24T11:58:43","New Zealand"
"3961385544","Gonipterus platensis Marelli, 1926",-78.586416,-0.05308,"cdround",2022,10,24,"2022-10-24T11:40:00","Ecuador"
"3384589584","Gonipterus platensis Marelli, 1926",-59.195833,-38.0425,"cdround",2021,1,10,"2021-01-10T10:27:00","Argentina"
