"key","scientificName","decimalLongitude","decimalLatitude","issues","year","month","day","eventDate","country"
"3467132458","Hymenoscyphus pseudoalbidus V.Queloz, C.R.Grünig, R.Berndt, T.Kowalski, T.N.Sieber & O.Holdenrieder",4.1194,50.87425,"osiic",2022,1,22,"2022-01-22T00:00:00","Belgium"
"3467138448","Hymenoscyphus pseudoalbidus V.Queloz, C.R.Grünig, R.Berndt, T.Kowalski, T.N.Sieber & O.Holdenrieder",3.79337,50.86153,"osiic",2022,1,6,"2022-01-06T00:00:00","Belgium"
"3467134530","Hymenoscyphus pseudoalbidus V.Queloz, C.R.Grünig, R.Berndt, T.Kowalski, T.N.Sieber & O.Holdenrieder",4.56092,51.11929,"osiic",2022,2,4,"2022-02-04T00:00:00","Belgium"
"3699089687","Hymenoscyphus pseudoalbidus V.Queloz, C.R.Grünig, R.Berndt, T.Kowalski, T.N.Sieber & O.Holdenrieder",4.56092,51.11929,"osiic",2022,2,4,"2022-02-04T00:00:00","Belgium"
"3699093653","Hymenoscyphus pseudoalbidus V.Queloz, C.R.Grünig, R.Berndt, T.Kowalski, T.N.Sieber & O.Holdenrieder",3.79329,50.86119,"osiic",2022,2,20,"2022-02-20T00:00:00","Belgium"
"3699092767","Hymenoscyphus pseudoalbidus V.Queloz, C.R.Grünig, R.Berndt, T.Kowalski, T.N.Sieber & O.Holdenrieder",4.61719,50.86251,"osiic",2022,3,1,"2022-03-01T00:00:00","Belgium"
"3765317558","Hymenoscyphus pseudoalbidus V.Queloz, C.R.Grünig, R.Berndt, T.Kowalski, T.N.Sieber & O.Holdenrieder",4.42763,50.89173,"osiic",2022,4,13,"2022-04-13T00:00:00","Belgium"
"3804151462","Hymenoscyphus pseudoalbidus V.Queloz, C.R.Grünig, R.Berndt, T.Kowalski, T.N.Sieber & O.Holdenrieder",5.61772,50.41219,"osiic",2022,5,11,"2022-05-11T00:00:00","Belgium"
"3805192997","Hymenoscyphus pseudoalbidus V.Queloz, C.R.Grünig, R.Berndt, T.Kowalski, T.N.Sieber & O.Holdenrieder",4.47607,51.14536,"osiic",2022,5,20,"2022-05-20T00:00:00","Belgium"
"3866992033","Hymenoscyphus pseudoalbidus V.Queloz, C.R.Grünig, R.Berndt, T.Kowalski, T.N.Sieber & O.Holdenrieder",5.4252,50.8246,"osiic",2022,7,10,"2022-07-10T00:00:00","Belgium"
"3866994291","Hymenoscyphus pseudoalbidus V.Queloz, C.R.Grünig, R.Berndt, T.Kowalski, T.N.Sieber & O.Holdenrieder",3.29533,51.27311,"osiic",2022,7,16,"2022-07-16T00:00:00","Belgium"
"3866996192","Hymenoscyphus pseudoalbidus V.Queloz, C.R.Grünig, R.Berndt, T.Kowalski, T.N.Sieber & O.Holdenrieder",5.75179,51.15319,"osiic",2022,7,15,"2022-07-15T00:00:00","Belgium"
"3866997010","Hymenoscyphus pseudoalbidus V.Queloz, C.R.Grünig, R.Berndt, T.Kowalski, T.N.Sieber & O.Holdenrieder",5.4252,50.8246,"osiic",2022,7,10,"2022-07-10T00:00:00","Belgium"
"3866999968","Hymenoscyphus pseudoalbidus V.Queloz, C.R.Grünig, R.Berndt, T.Kowalski, T.N.Sieber & O.Holdenrieder",5.28404,50.77564,"osiic",2022,7,11,"2022-07-11T00:00:00","Belgium"
"3867000046","Hymenoscyphus pseudoalbidus V.Queloz, C.R.Grünig, R.Berndt, T.Kowalski, T.N.Sieber & O.Holdenrieder",4.96947,51.07301,"osiic",2022,7,13,"2022-07-13T00:00:00","Belgium"
"3867022106","Hymenoscyphus pseudoalbidus V.Queloz, C.R.Grünig, R.Berndt, T.Kowalski, T.N.Sieber & O.Holdenrieder",4.96947,51.07301,"osiic",2022,7,13,"2022-07-13T00:00:00","Belgium"
"3867024267","Hymenoscyphus pseudoalbidus V.Queloz, C.R.Grünig, R.Berndt, T.Kowalski, T.N.Sieber & O.Holdenrieder",5.75179,51.15319,"osiic",2022,7,15,"2022-07-15T00:00:00","Belgium"
"3867025980","Hymenoscyphus pseudoalbidus V.Queloz, C.R.Grünig, R.Berndt, T.Kowalski, T.N.Sieber & O.Holdenrieder",5.28404,50.77563,"osiic",2022,7,11,"2022-07-11T00:00:00","Belgium"
"3913000175","Hymenoscyphus pseudoalbidus V.Queloz, C.R.Grünig, R.Berndt, T.Kowalski, T.N.Sieber & O.Holdenrieder",5.21153,50.92718,"osiic",2022,8,20,"2022-08-20T00:00:00","Belgium"
"3913002164","Hymenoscyphus pseudoalbidus V.Queloz, C.R.Grünig, R.Berndt, T.Kowalski, T.N.Sieber & O.Holdenrieder",5.21153,50.92718,"osiic",2022,8,20,"2022-08-20T00:00:00","Belgium"
"3913013077","Hymenoscyphus pseudoalbidus V.Queloz, C.R.Grünig, R.Berndt, T.Kowalski, T.N.Sieber & O.Holdenrieder",4.32822,50.72067,"osiic",2022,8,27,"2022-08-27T00:00:00","Belgium"
"3913014880","Hymenoscyphus pseudoalbidus V.Queloz, C.R.Grünig, R.Berndt, T.Kowalski, T.N.Sieber & O.Holdenrieder",4.8343,50.78492,"osiic",2022,9,11,"2022-09-11T00:00:00","Belgium"
"3913017283","Hymenoscyphus pseudoalbidus V.Queloz, C.R.Grünig, R.Berndt, T.Kowalski, T.N.Sieber & O.Holdenrieder",4.6805,51.2451,"osiic",2022,9,16,"2022-09-16T00:00:00","Belgium"
"3913017292","Hymenoscyphus pseudoalbidus V.Queloz, C.R.Grünig, R.Berndt, T.Kowalski, T.N.Sieber & O.Holdenrieder",4.68029,51.24587,"osiic",2022,9,16,"2022-09-16T00:00:00","Belgium"
"3913021261","Hymenoscyphus pseudoalbidus V.Queloz, C.R.Grünig, R.Berndt, T.Kowalski, T.N.Sieber & O.Holdenrieder",4.40434,50.99193,"osiic",2022,9,10,"2022-09-10T00:00:00","Belgium"
"3922380390","Hymenoscyphus pseudoalbidus V.Queloz, C.R.Grünig, R.Berndt, T.Kowalski, T.N.Sieber & O.Holdenrieder",5.80474,50.55175,"osiic",2022,9,6,"2022-09-06T00:00:00","Belgium"
"3729156651","Hymenoscyphus pseudoalbidus V.Queloz, C.R.Grünig, R.Berndt, T.Kowalski, T.N.Sieber & O.Holdenrieder",13.076661,47.747723,"cdround,osiic",2021,2,20,"2021-02-20T00:00:00","Austria"
"3080712362","Hymenoscyphus pseudoalbidus V.Queloz, C.R.Grünig, R.Berndt, T.Kowalski, T.N.Sieber & O.Holdenrieder",4.99423,51.35875,"osiic",2021,3,17,"2021-03-17T00:00:00","Belgium"
"3319966586","Hymenoscyphus pseudoalbidus V.Queloz, C.R.Grünig, R.Berndt, T.Kowalski, T.N.Sieber & O.Holdenrieder",4.56056,50.86707,"osiic",2021,6,11,"2021-06-11T00:00:00","Belgium"
"3319986950","Hymenoscyphus pseudoalbidus V.Queloz, C.R.Grünig, R.Berndt, T.Kowalski, T.N.Sieber & O.Holdenrieder",4.41612,50.86748,"osiic",2021,6,18,"2021-06-18T00:00:00","Belgium"
"3389709304","Hymenoscyphus pseudoalbidus V.Queloz, C.R.Grünig, R.Berndt, T.Kowalski, T.N.Sieber & O.Holdenrieder",9.469153,47.294971,"cdround,gass84",2021,6,11,"2021-06-11T00:00:00","Switzerland"
"3415293500","Hymenoscyphus pseudoalbidus V.Queloz, C.R.Grünig, R.Berndt, T.Kowalski, T.N.Sieber & O.Holdenrieder",5.80577,50.53143,"osiic",2021,6,25,"2021-06-25T00:00:00","Belgium"
"3334808785","Hymenoscyphus pseudoalbidus V.Queloz, C.R.Grünig, R.Berndt, T.Kowalski, T.N.Sieber & O.Holdenrieder",4.43165,51.0439,"osiic",2021,7,11,"2021-07-11T00:00:00","Belgium"
"3334811643","Hymenoscyphus pseudoalbidus V.Queloz, C.R.Grünig, R.Berndt, T.Kowalski, T.N.Sieber & O.Holdenrieder",4.86801,50.93196,"osiic",2021,7,7,"2021-07-07T00:00:00","Belgium"
"3334813708","Hymenoscyphus pseudoalbidus V.Queloz, C.R.Grünig, R.Berndt, T.Kowalski, T.N.Sieber & O.Holdenrieder",4.4317,51.04393,"osiic",2021,7,11,"2021-07-11T00:00:00","Belgium"
"3388486213","Hymenoscyphus pseudoalbidus V.Queloz, C.R.Grünig, R.Berndt, T.Kowalski, T.N.Sieber & O.Holdenrieder",10.39739,53.97192,"cdround,gass84",2021,7,27,"2021-07-27T00:00:00","Germany"
"3426927943","Hymenoscyphus pseudoalbidus V.Queloz, C.R.Grünig, R.Berndt, T.Kowalski, T.N.Sieber & O.Holdenrieder",9.6725,47.2245,"preswcd",2021,7,27,"2021-07-27T00:00:00","Austria"
"3426935076","Hymenoscyphus pseudoalbidus V.Queloz, C.R.Grünig, R.Berndt, T.Kowalski, T.N.Sieber & O.Holdenrieder",9.622,47.200832,"",2021,7,31,"2021-07-31T00:00:00","Austria"
"3427138988","Hymenoscyphus pseudoalbidus V.Queloz, C.R.Grünig, R.Berndt, T.Kowalski, T.N.Sieber & O.Holdenrieder",9.622,47.200832,"preswcd",2021,7,31,"2021-07-31T00:00:00","Austria"
"3427164046","Hymenoscyphus pseudoalbidus V.Queloz, C.R.Grünig, R.Berndt, T.Kowalski, T.N.Sieber & O.Holdenrieder",9.6725,47.2245,"",2021,7,27,"2021-07-27T00:00:00","Austria"
