"key","scientificName","decimalLongitude","decimalLatitude","issues","year","month","day","eventDate","country"
"3456912129","Insignorthezia insignis (Browne, 1887)",19.201283,-34.424663,"cdround",2022,1,2,"2022-01-02T07:19:19","South Africa"
"3802595607","Insignorthezia insignis (Browne, 1887)",-159.363402,21.950578,"cdround",2022,1,22,"2022-01-22T20:29:00","United States of America"
"3892587885","Insignorthezia insignis (Browne, 1887)",25.818069,-33.694595,"cdround",2022,1,31,"2022-01-31T22:03:00","South Africa"
"3759781375","Insignorthezia insignis (Browne, 1887)",-77.055375,-12.06488,"cdround",2022,4,17,"2022-04-17T11:45:58","Peru"
"3764473779","Insignorthezia insignis (Browne, 1887)",30.362022,-29.557155,"cdround",2022,4,23,"2022-04-23T12:33:00","South Africa"
"3772415549","Insignorthezia insignis (Browne, 1887)",-64.763067,32.292928,"cdround",2022,4,2,"2022-04-02T18:11:00","Bermuda"
"3772439570","Insignorthezia insignis (Browne, 1887)",-64.819621,32.253197,"cdround",2022,4,1,"2022-04-01T21:55:00","Bermuda"
"3772629566","Insignorthezia insignis (Browne, 1887)",-64.865629,32.262909,"cdround",2022,4,1,"2022-04-01T15:37:00","Bermuda"
"3773096605","Insignorthezia insignis (Browne, 1887)",-58.350964,-34.608063,"cdround",2022,5,7,"2022-05-07T15:07:00","Argentina"
"3860762054","Insignorthezia insignis (Browne, 1887)",25.818069,-33.694595,"cdround",2022,6,13,"2022-06-13T18:33:00","South Africa"
"3912169839","Insignorthezia insignis (Browne, 1887)",31.019306,-29.823442,"cdround",2022,9,16,"2022-09-16T06:38:53","South Africa"
"3915585698","Insignorthezia insignis (Browne, 1887)",31.025566,-17.775361,"cdround",2022,9,25,"2022-09-25T15:43:47","Zimbabwe"
"3961021947","Insignorthezia insignis (Browne, 1887)",30.425918,-30.757213,"cdround",2022,10,27,"2022-10-27T10:17:00","South Africa"
"3961022051","Insignorthezia insignis (Browne, 1887)",31.025566,-17.775361,"cdround",2022,10,28,"2022-10-28T15:07:24","Zimbabwe"
"3961143902","Insignorthezia insignis (Browne, 1887)",31.007671,-25.49833,"cdround",2022,10,21,"2022-10-21T14:09:00","South Africa"
"3961212071","Insignorthezia insignis (Browne, 1887)",32.4081,-28.3794,"",2022,10,28,"2022-10-28T15:54:00","South Africa"
"3961441523","Insignorthezia insignis (Browne, 1887)",31.017717,-17.588502,"cdround",2022,10,29,"2022-10-29T10:04:00","Zimbabwe"
