"key","scientificName","decimalLongitude","decimalLatitude","issues","year","month","day","eventDate","country"
"3455586802","Ophelimus maskelli (Ashmead, 1900)",-122.180627,37.828502,"cdround",2022,1,12,"2022-01-12T20:03:00","United States of America"
"3456225985","Ophelimus maskelli (Ashmead, 1900)",-121.956633,37.407513,"cdround",2022,1,11,"2022-01-11T14:07:36","United States of America"
"3456634170","Ophelimus maskelli (Ashmead, 1900)",-121.795552,38.527276,"cdround",2022,1,15,"2022-01-15T14:10:55","United States of America"
"3456712096","Ophelimus maskelli (Ashmead, 1900)",-8.754884,40.439355,"cdround",2022,1,2,"2022-01-02T11:15:33","Portugal"
"3456935942","Ophelimus maskelli (Ashmead, 1900)",-121.789605,38.524672,"cdround",2022,1,18,"2022-01-18T13:50:22","United States of America"
"3465935976","Ophelimus maskelli (Ashmead, 1900)",-117.262497,33.969188,"cdround",2022,1,7,"2022-01-07T11:51:03","United States of America"
"3466124566","Ophelimus maskelli (Ashmead, 1900)",-117.042183,32.790283,"cdround",2022,1,2,"2022-01-02T14:15:51","United States of America"
"3466160279","Ophelimus maskelli (Ashmead, 1900)",-120.418761,37.520539,"cdround",2022,1,29,"2022-01-29T12:24:00","United States of America"
"3466331851","Ophelimus maskelli (Ashmead, 1900)",-122.175675,37.827763,"cdround",2022,1,23,"2022-01-23T13:23:59","United States of America"
"3705378471","Ophelimus maskelli (Ashmead, 1900)",-121.818783,38.406251,"cdround",2022,1,1,"2022-01-01T16:52:12","United States of America"
"3873362600","Ophelimus maskelli (Ashmead, 1900)",-119.848008,34.442562,"cdround",2022,1,21,"2022-01-21T17:27:00","United States of America"
"3468876723","Ophelimus maskelli (Ashmead, 1900)",-117.346801,33.964188,"cdround",2022,2,3,"2022-02-22T00:00:00","United States of America"
"3698249741","Ophelimus maskelli (Ashmead, 1900)",23.751943,37.852046,"cdround",2022,2,17,"2022-02-17T14:18:00","Greece"
"3873006608","Ophelimus maskelli (Ashmead, 1900)",-116.941776,32.501512,"cdround",2022,2,27,"2022-02-27T13:41:57","Mexico"
"3759235309","Ophelimus maskelli (Ashmead, 1900)",-121.949303,37.270869,"cdround",2022,3,27,"2022-03-27T09:49:00","United States of America"
"3872981565","Ophelimus maskelli (Ashmead, 1900)",-117.518185,33.589107,"cdround",2022,3,20,"2022-03-20T10:59:00","United States of America"
"3873012565","Ophelimus maskelli (Ashmead, 1900)",-117.290147,33.091972,"cdround",2022,3,18,"2022-03-18T12:35:32","United States of America"
"3873107313","Ophelimus maskelli (Ashmead, 1900)",-119.847598,34.442816,"cdround",2022,3,7,"2022-03-07T10:14:00","United States of America"
"3873572588","Ophelimus maskelli (Ashmead, 1900)",-117.077557,32.8254,"cdround",2022,3,13,"2022-03-13T17:03:00","United States of America"
"3925056461","Ophelimus maskelli (Ashmead, 1900)",-116.982945,32.726497,"cdround",2022,3,5,"2022-03-05T09:41:51","United States of America"
"3925095479","Ophelimus maskelli (Ashmead, 1900)",-117.160314,32.866939,"cdround",2022,3,13,"2022-03-13T16:04:00","United States of America"
"3925150463","Ophelimus maskelli (Ashmead, 1900)",-117.127209,32.734941,"cdround",2022,3,4,"2022-03-04T16:12:00","United States of America"
"3945080101","Ophelimus maskelli (Ashmead, 1900)",149.16316,-35.238992,"",2022,3,12,"2022-03-12T01:15:00","Australia"
"3773113158","Ophelimus maskelli (Ashmead, 1900)",-118.612202,34.308871,"cdround",2022,4,29,"2022-04-29T18:50:00","United States of America"
"3773122632","Ophelimus maskelli (Ashmead, 1900)",-121.984122,37.176922,"cdround",2022,4,29,"2022-04-29T12:09:00","United States of America"
"3773481324","Ophelimus maskelli (Ashmead, 1900)",-117.2902,33.091878,"cdround",2022,4,29,"2022-04-29T15:44:03","United States of America"
"3773602387","Ophelimus maskelli (Ashmead, 1900)",-121.79638,38.527506,"cdround",2022,4,29,"2022-04-29T19:16:00","United States of America"
"3873056601","Ophelimus maskelli (Ashmead, 1900)",-117.046665,32.786265,"",2022,4,13,"2022-04-13T10:11:00","United States of America"
"3873441564","Ophelimus maskelli (Ashmead, 1900)",-122.511113,38.365343,"cdround",2022,4,13,"2022-04-13T13:40:00","United States of America"
"3902569959","Ophelimus maskelli (Ashmead, 1900)",2.338612,48.769906,"cdround",2022,4,30,"2022-04-30T15:53:52","France"
"3773160959","Ophelimus maskelli (Ashmead, 1900)",-117.040261,32.787883,"cdround",2022,5,1,"2022-05-01T15:23:39","United States of America"
"3773231829","Ophelimus maskelli (Ashmead, 1900)",-121.790878,38.525188,"cdround",2022,5,2,"2022-05-02T18:20:24","United States of America"
"3773517079","Ophelimus maskelli (Ashmead, 1900)",-121.956356,37.407365,"cdround",2022,5,2,"2022-05-02T10:46:00","United States of America"
"3785167991","Ophelimus maskelli (Ashmead, 1900)",-120.847822,35.709737,"cdround",2022,5,19,"2022-05-19T10:15:26","United States of America"
"3802277920","Ophelimus maskelli (Ashmead, 1900)",8.315133,40.622785,"cdround",2022,5,22,"2022-05-22T11:21:01","Italy"
"3802288551","Ophelimus maskelli (Ashmead, 1900)",8.16669,40.594394,"cdround",2022,5,21,"2022-05-21T11:44:10","Italy"
"3802289493","Ophelimus maskelli (Ashmead, 1900)",8.488637,40.816728,"cdround",2022,5,20,"2022-05-20T10:52:53","Italy"
"3802309623","Ophelimus maskelli (Ashmead, 1900)",8.313166,40.621702,"cdround",2022,5,22,"2022-05-22T11:39:43","Italy"
"3802327684","Ophelimus maskelli (Ashmead, 1900)",8.313583,40.622483,"cdround",2022,5,22,"2022-05-22T11:29:32","Italy"
"3802380734","Ophelimus maskelli (Ashmead, 1900)",8.207479,40.616937,"cdround",2022,5,21,"2022-05-21T12:37:34","Italy"
"3802391741","Ophelimus maskelli (Ashmead, 1900)",8.310173,40.62024,"cdround",2022,5,22,"2022-05-22T12:00:28","Italy"
"3802423816","Ophelimus maskelli (Ashmead, 1900)",8.313375,40.621802,"cdround",2022,5,22,"2022-05-22T11:34:39","Italy"
"3802606964","Ophelimus maskelli (Ashmead, 1900)",8.312275,40.620197,"cdround",2022,5,22,"2022-05-22T11:53:41","Italy"
"3802700769","Ophelimus maskelli (Ashmead, 1900)",8.313736,40.622526,"cdround",2022,5,22,"2022-05-22T11:28:48","Italy"
"3872909631","Ophelimus maskelli (Ashmead, 1900)",-121.965063,38.355458,"cdround",2022,5,27,"2022-05-27T12:54:15","United States of America"
"3873050611","Ophelimus maskelli (Ashmead, 1900)",-117.044235,32.789718,"cdround",2022,5,2,"2022-05-02T14:42:00","United States of America"
"3873509637","Ophelimus maskelli (Ashmead, 1900)",-117.047285,34.049327,"cdround",2022,5,14,"2022-05-14T09:44:00","United States of America"
"3925008473","Ophelimus maskelli (Ashmead, 1900)",-117.043365,32.787231,"cdround",2022,5,17,"2022-05-17T18:58:00","United States of America"
"3873503740","Ophelimus maskelli (Ashmead, 1900)",-121.334385,38.591831,"cdround",2022,6,12,"2022-06-12T07:34:00","United States of America"
"3915296817","Ophelimus maskelli (Ashmead, 1900)",23.900168,37.775315,"cdround",2022,6,25,"2022-06-25T16:28:00","Greece"
"3892638526","Ophelimus maskelli (Ashmead, 1900)",22.858714,40.626622,"cdround",2022,8,4,"2022-08-04T09:55:32","Greece"
"3902162100","Ophelimus maskelli (Ashmead, 1900)",-121.969873,37.239389,"cdround",2022,8,9,"2022-08-09T08:59:00","United States of America"
"3925075585","Ophelimus maskelli (Ashmead, 1900)",-117.048179,34.054376,"cdround",2022,8,12,"2022-08-12T07:47:00","United States of America"
"3925108564","Ophelimus maskelli (Ashmead, 1900)",-117.266708,33.977945,"cdround",2022,8,4,"2022-08-04T11:09:10","United States of America"
"3925188566","Ophelimus maskelli (Ashmead, 1900)",-117.266555,33.978378,"cdround",2022,8,4,"2022-08-04T11:09:34","United States of America"
"3925191542","Ophelimus maskelli (Ashmead, 1900)",-117.517097,33.588217,"cdround",2022,8,14,"2022-08-14T10:56:41","United States of America"
