"key","scientificName","decimalLongitude","decimalLatitude","issues","year","month","day","eventDate","country"
"3451311313","Phytophthora de Bary, 1876",15.063764,46.103697,"cdround,cudc,gass84,txmathi",2022,1,13,"2022-01-13T00:00:00","Slovenia"
"3457188621","Phytophthora ramorum Werres, De Cock & Man",-122.570585,37.913552,"cdround",2022,1,2,"2022-01-02T13:48:14","United States of America"
"3464336304","Phytophthora de Bary, 1876",14.532565,46.034377,"cdround,cudc,gass84,txmathi",2022,1,29,"2022-01-29T00:00:00","Slovenia"
"3767469099","Phytophthora cactorum (Lebert & Cohn) J.Schröt.",17.66402,59.81653,"",2022,1,22,"2022-01-22T12:15:00","Sweden"
"3465576330","Phytophthora de Bary, 1876",10.713829,59.720924,"cdround,gass84",2022,2,10,"2022-02-10T00:00:00","Norway"
"3768301362","Phytophthora cactorum (Lebert & Cohn) J.Schröt.",17.66402,59.81653,"",2022,2,5,"2022-02-05T12:50:00","Sweden"
"3735497301","Phytophthora de Bary, 1876",15.593497,46.473331,"cdround,cudc,gass84,txmathi",2022,3,20,"2022-03-20T00:00:00","Slovenia"
"3769040756","Phytophthora cactorum (Lebert & Cohn) J.Schröt.",17.66402,59.81653,"",2022,3,30,"2022-03-30T00:00:00","Sweden"
"3909399323","Phytophthora cinnamomi Rands",174,-42,"incomis,inmafu",2022,3,11,"2022-03-11T00:00:00","New Zealand"
"3755963310","Phytophthora de Bary, 1876",14.897211,46.211407,"cdround,cudc,gass84,txmathi",2022,4,18,"2022-04-18T00:00:00","Slovenia"
"3767331213","Phytophthora cactorum (Lebert & Cohn) J.Schröt.",17.66397,59.81647,"",2022,4,14,"2022-04-14T00:00:00","Sweden"
"3769278734","Phytophthora cactorum (Lebert & Cohn) J.Schröt.",17.66404,59.81658,"",2022,4,27,"2022-04-27T14:15:00","Sweden"
"3769362715","Phytophthora cactorum (Lebert & Cohn) J.Schröt.",17.66404,59.81658,"",2022,4,27,"2022-04-27T00:00:00","Sweden"
"3773625513","Phytophthora ilicis Buddenh. & Roy A.Young",-75.228578,40.07045,"cdround",2022,4,29,"2022-04-29T16:24:21","United States of America"
"3909399381","Phytophthora multivora P.M.Scott & T.Jung",174,-42,"incomis,inmafu",2022,4,4,"2022-04-04T00:00:00","New Zealand"
"3872863615","Phytophthora ramorum Werres, De Cock & Man",-122.314849,37.394597,"cdround",2022,5,13,"2022-05-13T11:02:24","United States of America"
"3856155309","Phytophthora de Bary, 1876",15.135907,46.364584,"cdround,cudc,gass84,txmathi",2022,6,24,"2022-06-24T00:00:00","Slovenia"
"3879007312","Phytophthora de Bary, 1876",11.606449,59.531805,"cdround,gass84",2022,6,11,"2022-06-11T00:00:00","Norway"
"3927105423","Phytophthora ramorum Werres, De Cock & Man",6.356919,62.460069,"cdround,gass84",2022,6,20,"2022-06-20T00:00:00","Norway"
