"key","scientificName","decimalLongitude","decimalLatitude","issues","year","month","day","eventDate","country"
"1039047289","Pineus boerneri Annand, 1928",-76.4969,3.8625,"osiic,inmafu",2013,4,26,"2013-04-26T00:00:00","Colombia"
"1269815179","Pineus boerneri Annand, 1928",-76.4969,3.8625,"osiic,inmafu",2013,4,26,"2013-04-26T00:00:00","Colombia"
"1269815180","Pineus boerneri Annand, 1928",-76.4969,3.8625,"osiic,inmafu",2013,4,26,"2013-04-26T00:00:00","Colombia"
"1269815181","Pineus boerneri Annand, 1928",-76.4969,3.8625,"osiic,inmafu",2013,4,26,"2013-04-26T00:00:00","Colombia"
"1269815182","Pineus boerneri Annand, 1928",-76.4969,3.8625,"osiic,inmafu",2013,4,26,"2013-04-26T00:00:00","Colombia"
"1269815183","Pineus boerneri Annand, 1928",-76.4969,3.8625,"osiic,inmafu",2013,4,26,"2013-04-26T00:00:00","Colombia"
"1039142905","Pineus boerneri Annand, 1928",34.79481,32.007698,"osiic,inmafu",2008,NA,NA,"2008-01-01T00:00:00","Israel"
"1039147631","Pineus boerneri Annand, 1928",34.79481,32.007698,"osiic,inmafu",2008,NA,NA,"2008-01-01T00:00:00","Israel"
"1039148823","Pineus boerneri Annand, 1928",34.79481,32.007698,"osiic,inmafu",2008,NA,NA,"2008-01-01T00:00:00","Israel"
"3068218514","Pineus boerneri Annand, 1928",174.051666,-41.606666,"incomis,inmafu",1960,2,15,"1960-02-15T00:00:00","New Zealand"
"3068220351","Pineus boerneri Annand, 1928",174.051666,-41.606666,"incomis,inmafu",1960,2,15,"1960-02-15T00:00:00","New Zealand"
"3068224416","Pineus boerneri Annand, 1928",174.051666,-41.606666,"incomis,inmafu",1960,2,15,"1960-02-15T00:00:00","New Zealand"
"3068218573","Pineus boerneri Annand, 1928",173.55,-35.6,"incomis,inmafu",1957,10,10,"1957-10-10T00:00:00","New Zealand"
"3068233353","Pineus boerneri Annand, 1928",173.55,-35.6,"incomis,inmafu",1957,10,10,"1957-10-10T00:00:00","New Zealand"
"1322587236","Pineus börneri Annand, 1928",-122.357,37.581,"",1927,4,15,"1927-04-15T00:00:00","United States of America"
